Word                     Frequency
a                        308
a.m.                     1
a380                     1
aarhus                   2
aaron                    1
ability                  4
able                     9
abnormalities            1
aboard                   6
about                    33
above                    1
abundance                1
abundant                 1
abundantly               1
academia                 1
academics                1
academy                  3
accelerate               1
accelerometer            2
access                   2
accident                 1
accommodate              1
accomplish               1
according                7
account                  2
accretion                1
accuracy                 1
accurate                 1
achilles                 1
acidic                   1
acoustic                 5
acoustics                1
acq                      1
acquired                 1
acquiring                1
acquisition              1
across                   2
action                   2
activated                1
activating               1
active                   3
actively                 1
activities               1
activity                 3
actual                   3
actuality                1
actually                 4
adapt                    2
adaptation               2
add                      2
added                    1
addition                 1
additional               2
address                  3
addressing               1
adenocarcinoma           1
adequately               1
administration           1
adrenaline               3
adrenoceptors            1
adults                   1
advance                  4
advanced                 3
advances                 1
advantage                2
adverse                  1
advice                   1
advisor                  1
aerospace                3
affects                  2
africa                   1
after                    11
afterward                1
against                  5
age                      1
agencies                 2
agency                   2
agencys                  1
agents                   2
aging                    1
ago                      7
agree                    1
aiming                   1
air                      3
aircraft                 1
aircraft-like            1
airline                  1
airplane                 1
airplanes                1
alamos                   3
alerted                  1
alexander                2
algorithm                1
all                      11
all-or-nothing           1
all-sky                  1
allergy                  1
alliance                 1
allow                    2
allowed                  3
allowing                 1
allows                   2
almost                   2
alone                    3
along                    3
already                  2
also                     40
alterations              1
altered                  2
although                 7
altitude                 1
alzheimers               1
am                       4
amazed                   1
amazing                  1
ammonia                  1
among                    3
amount                   1
amounts                  1
an                       50
analyses                 1
analysis                 3
analytical               1
analyze                  1
analyzed                 1
ancient                  12
and                      301
angeles-based            1
angles                   1
angular                  1
animal                   2
animals                  1
anne                     1
announced                1
another                  2
answering                1
anthropology             1
anti-cancer              1
anti-tumour              1
antibiotic               8
antibiotics              3
antibodies               9
antibody                 1
anticipated              1
any                      6
anyone                   1
anything                 4
anywhere                 1
apart                    3
app                      4
apparently               1
appeal                   1
appear                   4
appearance               1
appeared                 1
appearing                2
appears                  2
apple                    1
application              3
applications             1
appreciated              1
approach                 7
approaches               1
approximately            5
april                    3
aquaculture              1
aquarium                 1
aquatic                  1
arc                      1
archaea                  3
archaeocete              5
archaeocetes             4
are                      104
area                     2
areas                    1
arise                    1
arm                      1
army                     1
around                   14
array                    2
arrestin                 1
arrival                  1
arrived                  3
arrives                  1
arrowhead                1
artificial               1
artiodactyls             1
arvidson                 1
as                       60
ashley                   1
asked                    2
aspect                   1
aspects                  1
assembly                 1
assess                   2
associate                3
associated               3
assumed                  1
assuming                 1
asteroid                 1
astonished               1
astonishment             1
astronauts               4
astronomer               1
astronomers              10
astronomical             1
astronomy                2
astrophysical            2
astrophysics             5
astrotech                1
asymmetric               1
asymmetrical             5
asymmetry                9
at                       102
ate                      1
atlantic                 1
atmosphere               2
atmospheres              2
atmospheric              5
atoms                    1
atop                     3
attached                 2
attack                   1
attempting               1
attitude                 1
attract                  1
attracting               3
attraction               3
attributed               2
aug                      6
augment                  1
august                   8
austin                   1
author                   7
authority                1
authors                  2
available                4
avenue                   1
average                  1
awakening                1
aware                    1
away                     6
axis                     1
b                        13
back                     5
backward                 1
bacteria                 5
bacterial                2
balance                  6
baleen                   4
ball                     3
barton                   1
base                     2
based                    3
basic                    1
basically                1
basilosaurus             1
basis                    1
bay                      4
