Word                     Frequency
a                        187
a.m.                     1
a380                     1
able                     5
aboard                   6
about                    26
abundance                1
academy                  2
accelerate               1
accelerometer            2
access                   2
accident                 1
accommodate              1
accomplish               1
according                3
accretion                1
accuracy                 1
accurate                 1
acidic                   1
acoustic                 4
acoustics                1
acq                      1
acquiring                1
acquisition              1
across                   1
action                   2
active                   1
actively                 1
activities               1
activity                 1
actual                   1
actuality                1
actually                 4
adapt                    1
add                      2
addition                 1
additional               1
address                  2
administration           1
advance                  2
advanced                 2
advances                 1
advantage                2
advice                   1
advisor                  1
aerospace                3
africa                   1
after                    4
afterward                1
agencies                 2
agency                   2
agencys                  1
ago                      4
agree                    1
aiming                   1
air                      3
aircraft                 1
aircraft-like            1
airline                  1
airplane                 1
airplanes                1
alamos                   1
alerted                  1
alexander                1
algorithm                1
all                      3
all-sky                  1
alliance                 1
allow                    2
allowed                  3
allowing                 1
allows                   1
alone                    1
along                    1
already                  1
also                     13
alterations              1
although                 2
altitude                 1
amazed                   1
amazing                  1
ammonia                  1
among                    2
amounts                  1
an                       26
analysis                 2
analytical               1
analyze                  1
ancient                  4
and                      153
angeles-based            1
angles                   1
angular                  1
announced                1
another                  1
anticipated              1
any                      3
anyone                   1
anything                 4
anywhere                 1
apart                    3
app                      4
apparently               1
appeal                   1
appear                   3
appearance               1
appeared                 1
appearing                2
appears                  1
apple                    1
application              2
applications             1
approach                 1
approximately            4
april                    3
arc                      1
are                      50
areas                    1
arise                    1
arm                      1
around                   9
array                    2
arrival                  1
arrived                  3
arrives                  1
arrowhead                1
arvidson                 1
as                       39
ashley                   1
asked                    2
aspects                  1
assembly                 1
associate                1
associated               1
assumed                  1
assuming                 1
asteroid                 1
astonished               1
astronauts               4
astronomer               1
astronomers              10
astronomical             1
astronomy                2
astrophysical            2
astrophysics             5
astrotech                1
at                       54
atmosphere               2
atmospheres              2
atmospheric              4
atoms                    1
atop                     3
attached                 2
attitude                 1
attract                  1
attracting               3
attraction               3
aug                      5
augment                  1
august                   1
austin                   1
author                   2
available                3
awakening                1
aware                    1
away                     6
axis                     1
back                     2
backward                 1
ball                     3
base                     2
based                    1
basic                    1
bay                      3
be                       34
beaded-jet               1
beamed                   1
beaming                  1
because                  7
become                   1
becomes                  2
bedrock                  1
been                     10
before                   6
begin                    1
begins                   1
behaves                  1
being                    4
believe                  1
believes                 2
bench                    1
bend                     1
beneath                  1
beneficially             1
berger                   1
better                   2
between                  8
beyond                   2
big                      4
bigger                   2
biggest                  1
billion                  5
billions                 1
birth                    2
birthing                 1
bit                      3
black                    39
blackouts                1
blank                    1
blasts                   1
bleed                    1
blemishes                1
blinding                 1
block                    1
blue                     1
board                    1
bob                      1
bodies                   1
body                     4
boiling                  1
bonus                    1
booster                  2
boosters                 3
born                     1
botany                   2
both                     9
boulder                  1
brand                    1
breakthrough             1
brian                    1
bridge                   1
briefly                  1
bright                   3
brighten                 1
brightening              2
brighter                 1
brightness               1
bring                    1
bromine                  1
brown                    13
budding                  1
build                    1
building                 2
bulge                    1
bulk                     1
bumping                  1
buoyancy                 1
burn                     1
burrows                  2
burst                    1
business                 2
but                      20
butterflys               2
by                       37
byproduct                1
cady                     2
cal                      1
calibration              2
calif                    5
california               3
callas                   1
called                   10
caltechs                 1
cambridge                2
came                     1
camera                   3
campanas                 1
can                      19
candidates               2
cannot                   1
cant                     1
capabilities             3
cape                     5
carbon                   1
cargo                    6
carried                  1
carry                    1
carrying                 2
case                     1
cases                    2
caused                   2
cautions                 1
celsius                  1
centauri                 1
center                   11
centered                 1
central                  2
ceo                      1
certain                  1
certainly                1
certification            1
cfa                      3
chabad                   2
challenge                2
challenges               3
challenging              1
chance                   2
chandra                  4
chandras                 1
change                   4
changed                  1
changes                  4
changing                 1
characteristics:         1
charge                   4
charged                  6
charges                  1
check                    1
chile                    1
circular                 1
class                    2
classes                  1
classified               1
classroom                1
clay                     1
clean                    1
clear                    1
climate                  3
climbed                  1
close                    3
closer                   2
closest                  3
clouds                   1
club                     1
clue                     1
clues                    1
clumps                   1
clumpy                   1
cm                       1
cmes                     1
co-author                2
co-workers               1
coast                    1
coauthor                 1
coldest                  4
coleman                  2
colemans                 1
collaboration            3
collaborators            1
colleagues               1
collected                2
collecting               1
collective               1
collide                  1
collision                2
collisions               2
colo                     1
combination              1
combined                 1
combining                1
come                     3
comerford                1
comes                    1
coming                   4
commented                2
comments                 1
commercial               5
common                   1
communication            1
communications           1
community                1
compact                  1
companies                3
companion                1
company                  1
compare                  1
compared                 1
comparison               1
compelling               1
competition              3
complete                 1
completed                1
completes                1
complex                  1
component                1
composition              2
compositional            1
computationally          1
computer                 2
concept                  1
concepts                 1
concert                  1
conclusive               1
condense                 1
conditions               2
conducted                1
confirm                  2
confirmation             1
confirmed                1
connection               1
connections              1
connectivity             1
consequences             1
constantly               1
constellation            1
consumed                 1
container                1
containing               1
continue                 2
continued                2
continues                1
continuous               2
contrast                 1
contrasts                1
contribute               1
contribution             1
control                  1
cool                     3
cooled                   1
cooler                   2
coolest                  1
coordinator              1
cores                    1
cornell                  1
coronal                  1
corp                     2
corporation              1
corralled                1
cosmic                   2
cost                     3
could                    18
counterparts             1
course                   1
court                    1
cpu                      1
craft                    4
crater                   5
craters                  2
create                   3
created                  1
creating                 2
creativity               1
crew                     3
critical                 2
current                  1
currently                1
cushing                  2
cut                      1
cycles                   1
daily                    1
dark                     2
data                     14
date                     2
dave                     1
david                    1
davy                     1
day                      2
days                     1
death                    1
debated                  1
decade                   1
decades                  3
decision                 1
dedicated                1
deep                     1
definitively             1
degrees                  3
deliver                  1
delivered                1
delta                    3
demand                   4
department               1
depend                   1
depict                   1
depths                   1
deputy                   2
describing               2
design                   4
designed                 3
designers                1
destination              1
destinations             1
destined                 1
detail                   2
detailed                 1
details                  3
detect                   2
detectable               1
detected                 2
detection                2
detectors                1
detonation               1
develop                  2
developed                1
developing               2
development              7
device                   1
devices                  8
devoured                 1
did                      2
didnt                    2
diego                    2
differences              2
different                4
differently              1
difficult                2
dimming                  1
directed                 1
directions               1
director                 1
disasters                1
discontinuous            1
discovered               3
discoveries              2
discovering              2
discovers                1
discovery                4
disk                     3
