Word                     Frequency
a                        623
a.m.                     1
a380                     1
aarhus                   2
aaron                    1
aberration-corrected     1
ability                  5
able                     16
abnormalities            1
aboard                   6
about                    62
above                    2
absence                  1
absolutely               1
absorbed                 1
absorbs                  1
abstract                 1
abundance                1
abundant                 1
abundantly               1
ac-hrtem                 1
academia                 1
academic                 2
academics                1
academy                  3
accelerate               3
accelerated              1
accelerometer            2
accept                   2
accepted                 1
access                   4
accident                 1
accidental               1
accidentally             1
accommodate              1
accompanied              1
accomplish               1
according                18
account                  2
accretion                1
accuracy                 2
accurate                 1
acer                     1
acetylene                3
achieve                  1
achilles                 1
acid                     1
acidic                   1
acknowledged             1
acknowledging            1
acoustic                 5
acoustics                1
acq                      1
acquired                 1
acquiring                1
acquisition              1
across                   3
act                      1
action                   4
activated                1
activating               1
active                   4
actively                 1
activists                1
activities               1
activity                 5
actual                   3
actuality                1
actually                 9
acuity                   2
adapt                    2
adaptation               2
add                      2
added                    2
added:                   1
addition                 4
additional               5
additionally             1
address                  5
addressing               1
adenocarcinoma           1
adequately               1
adhesion                 14
adhesive                 1
administration           1
adoption                 1
adrenaline               3
adrenoceptors            1
adults                   5
advance                  4
advanced                 5
advances                 2
advantage                5
advantages               1
adverse                  1
advice                   1
advisor                  1
advisors                 1
aerospace                3
affect                   1
affects                  2
affiliated               1
africa                   1
after                    21
afternoon                4
afterward                1
again                    3
against                  13
age                      3
agencies                 2
agency                   8
agencys                  1
agents                   2
ages                     1
aggressive               1
aging                    1
ago                      7
agree                    1
agreeing                 1
agreements               2
aid                      1
aided                    1
aim                      1
aimed                    1
aiming                   1
air                      5
aircraft                 1
aircraft-like            1
airline                  1
airplane                 1
airplanes                1
akin                     1
alamos                   3
alan                     1
albert                   1
alcatel-lucent           1
ald                      2
alerted                  1
alexander                3
algorithm                1
aligned                  2
alive                    1
all                      32
all-or-nothing           1
all-sky                  1
alleged                  3
allegedly                4
alleges                  1
allergy                  1
alliance                 1
allow                    2
allowed                  5
allowing                 4
allows                   4
almost                   4
alone                    4
along                    4
aloud                    1
already                  8
also                     68
alterations              1
altered                  2
although                 7
altitude                 1
aluminum                 3
aluminum-doped           1
always                   1
alzheimers               1
am                       7
amazed                   1
amazing                  3
amazon                   17
amazons                  4
ambient                  2
amblyopia                6
america                  1
american                 1
ammonia                  3
among                    10
amorphous                1
amount                   5
amounts                  1
amsuss                   1
an                       103
analyses                 1
analysis                 4
analytical               1
analyze                  1
analyzed                 2
anatoli                  1
anatoliy                 1
ancient                  12
and                      576
andre                    2
andrea                   1
andrei                   1
android                  11
androids                 1
angeles-based            1
angle                    1
angles                   1
angular                  2
animal                   2
animals                  1
anne                     1
announced                2
annual                   1
anonymizing              1
anonymous                16
another                  9
answer                   2
answering                1
answers                  1
antenna                  2
anthony                  1
anthropology             1
anti-cancer              1
anti-tumour              1
antibiotic               8
antibiotics              3
antibodies               9
antibody                 1
anticipated              1
anticipating             1
any                      16
anymore                  1
anyone                   1
anything                 4
anyway                   1
anywhere                 1
apart                    3
app                      4
apparently               1
appeal                   1
appear                   5
appearance               2
appeared                 2
appearing                2
appears                  4
applause                 1
apple                    31
apple:                   1
apples                   2
application              3
applications             8
applied                  3
apply                    1
appreciated              1
approach                 13
approaches               2
appropriates             1
approval                 1
approve                  3
approved                 2
approximately            6
apps                     4
april                    4
aquaculture              1
aquarium                 1
aquatic                  1
arc                      1
archaea                  3
archaeocete              5
archaeocetes             4
architecture             2
are                      176
area                     4
areas                    3
argued                   3
argues                   1
arguing                  1
arise                    2
arizona                  1
arm                      1
army                     1
around                   27
arraignment              2
arraignments             1
arranged                 3
array                    4
arrested                 1
arrestin                 1
arrests                  1
arrival                  1
arrived                  3
arrives                  1
arrowhead                1
article                  1
artificial               1
artiodactyls             1
arvidson                 1
as                       141
ashley                   1
ashtabula                1
asked                    6
aspect                   1
aspects                  1
aspuru-guzik             2
assault                  1
assaulted                1
assembly                 1
assess                   2
assets                   5
assigned                 1
assistant                1
assisted                 1
associate                7
associated               3
associates               1
association              1
assumed                  1
assuming                 1
asteroid                 1
astonished               1
astonishment             1
astray                   1
astronauts               4
astronomer               1
astronomers              10
astronomical             1
astronomy                2
astrophysical            2
astrophysics             5
astrotech                1
asymmetric               1
asymmetrical             5
asymmetry                9
at                       171
at&t                     16
ate                      1
atlantic                 1
atmosphere               2
atmospheres              2
atmospheric              5
atom                     3
atomic                   11
atomically               1
atoms                    17
atop                     3
attached                 3
attack                   6
attacks                  1
attempt                  1
attempting               1
attempts                 1
attitude                 1
attorney                 1
attorneys                2
attract                  1
attracting               3
attraction               3
attractive               1
attributed               2
au                       1
audience                 1
aug                      18
augment                  1
august                   10
austin                   1
author                   11
authorities              1
authority                2
authors                  3
automatically            1
available                5
avenue                   1
average                  1
aversion                 1
awakening                1
awarded                  1
aware                    1
awareness                1
away                     8
axis                     1
b                        13
back                     11
backlash                 1
backlight                6
backlit                  1
backlit-only             1
backward                 1
bacteria                 5
bacterial                2
bad                      1
balance                  6
baleen                   4
ball                     3
ballmer                  1
bandgap                  1
bao                      2
bar                      2
barnes                   1
barton                   1
base                     3
based                    5
basic                    1
basically                1
basilosaurus             1
basis                    2
batteries                1
battery                  2
battles                  1
bay                      4
bayer                    1
be                       134
beach                    1
beaded-jet               1
beam                     1
beamed                   1
beaming                  1
became                   6
because                  29
become                   8
becomes                  5
becoming                 1
bedrock                  1
been                     56
beer                     2
before                   14
began                    3
begin                    2
beginning                4
begins                   1
behalf                   1
behaves                  1
behavior                 1
behind                   4
being                    13
belief                   1
believe                  5
believed                 1
believes                 3
bell                     6
belonging                1
below                    1
bench                    1
benchmark                1
bend                     4
beneath                  2
beneficially             1
benefit                  2
benefits                 2
benioff                  2
berger                   1
berkeley                 3
bernal                   2
beside                   1
best                     8
bet                      1
beta                     1
beta-arrestin-1          3
beta2-adrenoreceptors    1
beta2ars                 2
beth                     1
better                   14
between                  26
beyond                   5
bid                      1
big                      5
bigelow                  4
bigger                   3
biggest                  1
bigwigs                  1
billion                  6
billions                 1
bind                     4
binding                  8
binds                    2
bing                     1
bio-implants             1
biological               3
biologist                1
biologists               1
biology                  6
biomedical               1
biomes                   1
biopsies                 1
biosciences              1
biotherpeutics           1
birth                    2
birthing                 1
bisected                 2
bison                    1
bit                      4
bite                     1
black                    40
blackberry               2
blackouts                1
blade                    7
blades                   10
blame                    3
blank                    1
blasts                   1
bleaker                  1
bleed                    1
blemishes                1
blinding                 1
blister                  1
block                    4
blockade                 1
blocked                  1
blockers                 1
blocks                   2
blog                     3
blood                    1
bloodstream              1
blow                     1
blowing                  2
blue                     1
blueprint                1
bluetooth                2
blurred                  1
board                    1
bob                      1
bodies                   2
body                     9
bogus                    1
bohr                     4
boiling                  1
bonded                   1
bone                     1
bonus                    1
